@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
171,441,17,4,237,0.016598,0.962882,0.991011,0.962882,0.008989,0.976744,0.636624,1.512482,0.540835
172,440,18,4,237,0.016598,0.960699,0.990991,0.960699,0.009009,0.97561,0.635193,1.512451,0.585353
173,439,19,4,237,0.016598,0.958515,0.990971,0.958515,0.009029,0.974473,0.633763,1.51242,0.6
174,439,19,3,238,0.012448,0.958515,0.993213,0.958515,0.006787,0.975556,0.632332,1.515842,0.615154
175,438,20,3,238,0.012448,0.956332,0.993197,0.956332,0.006803,0.974416,0.630901,1.515819,0.630961
176,437,21,3,238,0.012448,0.954148,0.993182,0.954148,0.006818,0.973274,0.629471,1.515795,0.650586
177,437,21,2,239,0.008299,0.954148,0.995444,0.954148,0.004556,0.974359,0.62804,1.519248,0.66
178,436,22,2,239,0.008299,0.951965,0.995434,0.951965,0.004566,0.973214,0.626609,1.519232,0.713137
179,435,23,2,239,0.008299,0.949782,0.995423,0.949782,0.004577,0.972067,0.625179,1.519216,0.75
180,434,24,2,239,0.008299,0.947598,0.995413,0.947598,0.004587,0.970917,0.623748,1.5192,0.76129
181,433,25,2,239,0.008299,0.945415,0.995402,0.945415,0.004598,0.969765,0.622318,1.519184,0.767821
182,433,25,1,240,0.004149,0.945415,0.997696,0.945415,0.002304,0.970852,0.620887,1.522684,0.788006
183,432,26,1,240,0.004149,0.943231,0.997691,0.943231,0.002309,0.969697,0.619456,1.522676,0.790703
184,431,27,1,240,0.004149,0.941048,0.997685,0.941048,0.002315,0.968539,0.618026,1.522668,0.793868
185,430,28,1,240,0.004149,0.938865,0.99768,0.938865,0.00232,0.967379,0.616595,1.52266,0.81
186,429,29,1,240,0.004149,0.936681,0.997674,0.936681,0.002326,0.966216,0.615165,1.522652,0.82
187,428,30,1,240,0.004149,0.934498,0.997669,0.934498,0.002331,0.965051,0.613734,1.522643,0.83
188,427,31,1,240,0.004149,0.932314,0.997664,0.932314,0.002336,0.963883,0.612303,1.522635,0.846623
189,426,32,1,240,0.004149,0.930131,0.997658,0.930131,0.002342,0.962712,0.610873,1.522627,0.87
190,425,33,1,240,0.004149,0.927948,0.997653,0.927948,0.002347,0.961538,0.609442,1.522618,0.879246
191,424,34,1,240,0.004149,0.925764,0.997647,0.925764,0.002353,0.960362,0.608011,1.52261,0.88
192,422,36,1,240,0.004149,0.921397,0.997636,0.921397,0.002364,0.958002,0.60515,1.522593,0.89
193,421,37,1,240,0.004149,0.919214,0.99763,0.919214,0.00237,0.956818,0.60372,1.522584,0.9
194,419,39,1,240,0.004149,0.914847,0.997619,0.914847,0.002381,0.954442,0.600858,1.522567,0.91
195,418,40,1,240,0.004149,0.912664,0.997613,0.912664,0.002387,0.95325,0.599428,1.522558,0.93
